scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
140871, HDFC Charity Fund For Cancer Cure - Arbitrage Plan - Regular Option - 100% Dividend Payout Option,Low to Moderate,Others,Others,HDFC Charity Fund For Cancer Cure
140872, HDFC Charity Fund For Cancer Cure - Debt Plan - Direct Option - 100% Dividend Payout Option,High,Others,Others,HDFC Charity Fund For Cancer Cure
140873, HDFC Charity Fund For Cancer Cure - Debt Plan - Regular Option - 50% Dividend Payout Option,Moderate,Others,Others,HDFC Charity Fund For Cancer Cure
140874, HDFC Charity Fund For Cancer Cure - Debt Plan - Regular Option - 100% Dividend Payout Option,Very High,Others,Others,HDFC Charity Fund For Cancer Cure
140909, Kotak FMP Series 200-Regular Plan-Dividend Payout,Moderate,Others,Others,Kotak FMP Series 200
140910, Kotak FMP Series 200-Regular Plan-Growth Option,Moderately High,Others,Others,Kotak FMP Series 200
140911, Kotak FMP Series 200-Direct Plan-Dividend Payout Option,Moderate,Others,Others,Kotak FMP Series 200
140912, Kotak FMP Series 200-Direct Plan-Growth Option,Very High,Others,Others,Kotak FMP Series 200
140913, UTI Liquid Cash Plan - Direct Plan - Fortnightly IDCW,Low,Debt Scheme,Liquid,UTI Liquid Cash Plan
140914, Nippon India Fixed Horizon Fund XXXIII- Series 4- Growth Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140917, Nippon India Fixed Horizon Fund XXXIII- Series 4- Direct Plan-Growth Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140924, Nippon India Fixed Horizon Fund XXXIII- Series 5- Dividend Payout Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140925, Nippon India Fixed Horizon Fund XXXIII- Series 5-Direct Plan- Growth Option,High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140926, Nippon India Fixed Horizon Fund XXXIII- Series 5-Direct Plan- Dividend Payout Option,Low,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140927, Nippon India Fixed Horizon Fund XXXIII- Series 5- Growth Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140928, ICICI Prudential Fixed Maturity Plan - Series 80 - 1233 Days Plan O - Direct Plan - Cumulative Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140929, ICICI Prudential Fixed Maturity Plan - Series 80 - 1233 Days Plan O - Direct Plan - Dividend Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140931, ICICI Prudential Fixed Maturity Plan - Series 80 - 1233 Days Plan O - Cumulative Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140932, ICICI Prudential Fixed Maturity Plan - Series 80 - 1231 Days Plan P - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
140934, ICICI Prudential Fixed Maturity Plan - Series 80 - 1231 Days Plan P - Direct Plan - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
140935, ICICI Prudential Fixed Maturity Plan - Series 80 - 1231 Days Plan P - Direct Plan - Dividend Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140942, ICICI Prudential Fixed Maturity Plan - Series 80 - 1227 Days Plan Q - Cumulative Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140944, ICICI Prudential Fixed Maturity Plan - Series 80 - 1227 Days Plan Q - Direct Plan Cumulative Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140945, ICICI Prudential Fixed Maturity Plan - Series 80 - 1227 Days Plan Q - Direct Plan Dividend Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140954, ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Dividend Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140955, ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Cumulative Option,Low,Others,Others,ICICI Prudential Fixed Maturity Plan
140956, ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Direct Plan - Dividend Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
140957, ICICI Prudential Fixed Maturity Plan - Series 80 - 1138 Days Plan R - Direct Plan - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
140958, HDFC FMP 1213D March 2017 (1) - Regular Growth Option,Moderate,Others,Others,HDFC FMP 1213D March 2017 (1)
140959, HDFC FMP 1213D March 2017 (1) - Regular Quarterly  Dividend Option,Moderate,Others,Others,HDFC FMP 1213D March 2017 (1)
140960, HDFC FMP 1213D March 2017 (1) - Regular Dividend Option,Low to Moderate,Others,Others,HDFC FMP 1213D March 2017 (1)
140961, HDFC FMP 1213D March 2017 (1) - Direct Dividend Option,Moderately High,Others,Others,HDFC FMP 1213D March 2017 (1)
140962, HDFC FMP 1213D March 2017 (1) - Direct Growth Option,Moderate,Others,Others,HDFC FMP 1213D March 2017 (1)
140963, HDFC FMP 1213D March 2017 (1) - Direct Quarterly Dividend Option,Very High,Others,Others,HDFC FMP 1213D March 2017 (1)
140964, UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Growth Option,Moderately High,Others,Others,UTI FTIF Series XXVI
140966, UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Maturity Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
140967, UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Flexi Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
140968, UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Growth Option,Moderate,Others,Others,UTI FTIF Series XXVI
140969, UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Annual Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
140970, UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Quarterly Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
140971, UTI FTIF Series XXVI-VI (1146 Days)- Direct Plan - Maturity Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
140973, UTI FTIF Series XXVI-VI (1146 Days)- Regular Plan - Quarterly Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
140974, Nippon India Fixed Horizon Fund XXXIII- Series 6- Dividend Payout Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140975, Nippon India Fixed Horizon Fund XXXIII- Series 6- Growth Option,Moderately High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140976, Nippon India Fixed Horizon Fund XXXIII- Series 6-Direct Plan- Growth Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140977, Nippon India Fixed Horizon Fund XXXIII- Series 6- Direct Plan- Dividend Payout Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
140978, ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan E 1222 Days - Cumulative Option,Very High,Others,Others,ICICI Prudential Capital Protection Oriented Fund
140979, ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan E 1222 Days - Direct Plan -  Dividend Option,Moderately High,Others,Others,ICICI Prudential Capital Protection Oriented Fund
140980, ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan E 1222 Days - Dividend Option,High,Others,Others,ICICI Prudential Capital Protection Oriented Fund
140981, ICICI Prudential Capital Protection Oriented Fund - Series XI - Plan E 1222 Days - Direct Plan -  Cumulative Option,Moderate,Others,Others,ICICI Prudential Capital Protection Oriented Fund
141004, BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND- REGULAT PLAN -GROWTH OPTION,Moderate,Hybrid Scheme,Aggressive Hybrid,BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND
141005, BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND -DIRECT PLAN- Income Distribution cum Capital Withdrawal OPTION,Very High,Hybrid Scheme,Aggressive Hybrid,BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND
141006, BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND- DIRECT PLAN - GROWTH OPTION,High,Hybrid Scheme,Aggressive Hybrid,BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND
141007, BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND- REGULAR PLAN- Income Distribution cum Capital Withdrawal OPTION,Very High,Hybrid Scheme,Aggressive Hybrid,BNP PARIBAS SUBSTANTIAL EQUITY HYBRID FUND
141008, UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Quarterly Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141010, UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Quarterly Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
141011, UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Maturity Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141012, UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Annual Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
141013, UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Growth Option,Moderate,Others,Others,UTI FTIF Series XXVI
141014, UTI FTIF Series XXVI-VII (1140 Days)- Direct Plan - Maturity Div Option,High,Others,Others,UTI FTIF Series XXVI
141015, UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Growth Option,Very High,Others,Others,UTI FTIF Series XXVI
141016, UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Flexi Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141017, UTI FTIF Series XXVI-VII (1140 Days)- Regular Plan - Annual Div Option,Very High,Others,Others,UTI FTIF Series XXVI
141028, IDFC FIXED TERM PLAN SERIES-131 (1139Days) - Regular Plan- Quarterly Dividend,Very High,Others,Others,IDFC FIXED TERM PLAN SERIES
141029, IDFC FIXED TERM PLAN SERIES-131 (1139Days)-Regular Plan- Half Yearly Dividend,Low to Moderate,Others,Others,IDFC FIXED TERM PLAN SERIES
141030, IDFC FIXED TERM PLAN SERIES-131 (1139Days)-Direct Plan-Growth,Moderate,Others,Others,IDFC FIXED TERM PLAN SERIES
141031, IDFC FIXED TERM PLAN SERIES-131 (1139Days)- Regular Plan- Periodic Dividend,Moderate,Others,Others,IDFC FIXED TERM PLAN SERIES
