scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
100033, Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,Moderate,Equity Scheme,Large & Mid Cap,Aditya Birla Sun Life Equity Advantage Fund
100034, Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,Moderate,Equity Scheme,Large & Mid Cap,Aditya Birla Sun Life Equity Advantage Fund
100037, Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Low to Moderate,Debt Scheme,Medium to Long Duration,Aditya Birla Sun Life Income Fund
100038, Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Moderately High,Debt Scheme,Medium to Long Duration,Aditya Birla Sun Life Income Fund
100041, Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Moderately High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100042, Aditya Birla Sun Life Liquid Fund-Retail (Growth),Low to Moderate,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100043, Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Moderately High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100044, Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Low to Moderate,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100046, Aditya Birla Sun Life Liquid Fund -Daily IDCW,Moderate,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100047, Aditya Birla Sun Life Liquid Fund - Growth,Moderately High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100048, Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100051, Aditya Birla Sun Life Liquid Fund -weekly IDCW,Very High,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund
100057, Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,Very High,Debt Scheme,Gilt,Aditya Birla Sun Life Govenment Securities Fund
100058, Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Low to Moderate,Debt Scheme,Gilt,Aditya Birla Sun Life Government Securities Fund
100063, Aditya Birla Sun Life MNC Fund - Regular - IDCW,Very High,Others,Others,Aditya Birla Sun Life MNC Fund
100064, Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Low to Moderate,Others,Others,Aditya Birla Sun Life MNC Fund
100067, Aditya Birla Sun Life Tax Plan -Regular - IDCW,Moderate,Equity Scheme,ELSS,Aditya Birla Sun Life Tax Plan
100119, HDFC Balanced Advantage Fund - Growth Plan,Low,Hybrid Scheme,Multi Asset Allocation,HDFC Balanced Advantage Fund
100120, HDFC Balanced Advantage Fund - IDCW Plan,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,HDFC Balanced Advantage Fund
100123, HDFC Income Fund - Quarterly IDCW Option,Moderately High,Debt Scheme,Medium to Long Duration,HDFC Income Fund
100124, HDFC Income Fund - Growth Option,Low to Moderate,Debt Scheme,Medium to Long Duration,HDFC Income Fund
100152, Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,Moderate,Other Scheme,Indexs/ETFs,Principal Nifty 100 Equal Weight Fund
100153, Principal Nifty 100 Equal Weight Fund-Growth,Low to Moderate,Other Scheme,Indexs/ETFs,Principal Nifty 100 Equal Weight Fund
100156, Principal Tax Savings Fund,High,Equity Scheme,ELSS,Principal Tax Savings Fund
100174, quant Tax Plan - IDCW Option - Regular Plan,Low to Moderate,Equity Scheme,ELSS,quant Tax Plan
100175, quant Tax Plan - Growth Option - Regular Plan,Low to Moderate,Equity Scheme,ELSS,quant Tax Plan
100176, quant Small Cap Fund - IDCW Option - Regular Plan,Moderate,Equity Scheme,Small Cap,quant Small Cap Fund
100177, quant Small Cap Fund - Growth - Regular Plan,Very High,Equity Scheme,Small Cap,quant Small Cap Fund
100218, JM Large Cap Fund (Regular) - IDCW ,Moderate,Equity Scheme,Large Cap,JM Large Cap Fund (Regular)
100219, JM Large Cap Fund (Regular) - Growth Option,High,Equity Scheme,Large Cap,JM Large Cap Fund (Regular)
100220, JM Equity Hybrid Fund (Regular) - IDCW ,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,JM Equity Hybrid Fund (Regular)
100221, JM Equity Hybrid Fund (Regular) -Growth Option,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,JM Equity Hybrid Fund (Regular)
100222, JM Income Fund (Regular) - Quarterly IDCW ,High,Debt Scheme,Medium to Long Duration,JM Income Fund (Regular)
100223, JM Income Fund (Regular) - Growth Option,Low to Moderate,Debt Scheme,Medium to Long Duration,JM Income Fund (Regular)
100233, JM Liquid Fund (Regular) - Weekly IDCW,High,Debt Scheme,Liquid,JM Liquid Fund (Regular)
100234, JM Liquid Fund - Growth Option,Moderate,Debt Scheme,Liquid,JM Liquid Fund
100244, JM Liquid Fund (Regular) - Quarterly IDCW,Moderate,Debt Scheme,Liquid,JM Liquid Fund (Regular)
100247, JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,High,Debt Scheme,Liquid,JM Liquid Fund (Regular)
100254, JM Value Fund (Regular) - Growth Option,Moderate,Equity Scheme,Value,JM Value Fund (Regular)
100348, ICICI Prudential Large & Mid Cap Fund - IDCW,Very High,Equity Scheme,Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund
100349, ICICI Prudential Large & Mid Cap Fund - Growth,Moderately High,Equity Scheme,Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund
100351, ICICI Prudential FMCG Fund - IDCW,Low to Moderate,Others,Others,ICICI Prudential FMCG Fund
100352, ICICI Prudential FMCG Fund - Growth,Very High,Others,Others,ICICI Prudential FMCG Fund
100353, ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW,Very High,Equity Scheme,ELSS,ICICI Prudential Long Term Equity Fund (Tax Saving)
100354, ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,Moderately High,Equity Scheme,ELSS,ICICI Prudential Long Term Equity Fund (Tax Saving)
100355, ICICI Prudential Equity & Debt Fund - Monthly IDCW,Moderate,Hybrid Scheme,Aggressive Hybrid,ICICI Prudential Equity & Debt Fund
100356, ICICI Prudential Equity & Debt Fund - Growth,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,ICICI Prudential Equity & Debt Fund
100357, ICICI Prudential Liquid Fund -Quarterly IDCW,Low to Moderate,Debt Scheme,Liquid,ICICI Prudential Liquid Fund
100359, ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,Moderately High,Debt Scheme,Liquid,ICICI Prudential Liquid Institutional Plus Fund
100363, ICICI Prudential Technology Fund - Growth,Very High,Others,Others,ICICI Prudential Technology Fund
100364, ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,Moderate,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100365, ICICI Prudential Long Term Bond Fund - Growth,Moderate,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100366, ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,Moderately High,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100367, ICICI Prudential Long Term Bond Fund - Quarterly IDCW,Moderately High,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
100368, ICICI Prudential Gilt Fund - IDCW,Very High,Debt Scheme,Gilt,ICICI Prudential Gilt Fund
100369, ICICI Prudential Gilt Fund - Growth,Low to Moderate,Debt Scheme,Gilt,ICICI Prudential Gilt Fund
100370, ICICI Prudential Short Term Gilt Fund - Dividend,Low to Moderate,Others,Others,ICICI Prudential Short Term Gilt Fund
100371, ICICI Prudential Short Term Gilt Fund - Growth,Low,Others,Others,ICICI Prudential Short Term Gilt Fund
100372, ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend,Low to Moderate,Others,Others,ICICI Prudential Short Term Gilt Fund
100375, NIPPON INDIA GROWTH FUND - IDCW Option,Low to Moderate,Equity Scheme,Mid Cap,NIPPON INDIA GROWTH FUND
100376, Nippon India Growth Fund-Growth Plan-Bonus Option,Moderate,Equity Scheme,Mid Cap,Nippon India Growth Fund
100377, Nippon India Growth Fund-Growth Plan-Growth Option,Very High,Equity Scheme,Mid Cap,Nippon India Growth Fund
100378, NIPPON INDIA VISION FUND - IDCW Option,High,Equity Scheme,Large & Mid Cap,NIPPON INDIA VISION FUND
100379, Nippon India Vision Fund-GROWTH PLAN-Bonus Option,Moderate,Equity Scheme,Large & Mid Cap,Nippon India Vision Fund
100380, Nippon India Vision Fund-GROWTH PLAN-Growth Option,Moderately High,Equity Scheme,Large & Mid Cap,Nippon India Vision Fund
100383, NIPPON INDIA INCOME FUND - MONTHLY IDCW Option,Moderately High,Debt Scheme,Medium to Long Duration,NIPPON INDIA INCOME FUND
100384, NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option,Moderate,Debt Scheme,Medium to Long Duration,NIPPON INDIA INCOME FUND
100385, NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option,Low to Moderate,Debt Scheme,Medium to Long Duration,NIPPON INDIA INCOME FUND
100386, NIPPON INDIA INCOME FUND - ANNUAL IDCW Option,High,Debt Scheme,Medium to Long Duration,NIPPON INDIA INCOME FUND
100387, Nippon India Income Fund - Growth Plan Growth Option,Low to Moderate,Debt Scheme,Medium to Long Duration,Nippon India Income Fund
100388, Nippon India Income Fund - Growth Plan Bonus Option,Low to Moderate,Debt Scheme,Medium to Long Duration,Nippon India Income Fund
100414, Tata Hybrid Equity Fund- Regular Plan - Growth Option,Moderate,Hybrid Scheme,Aggressive Hybrid,Tata Hybrid Equity Fund
100415, Tata Ethical Fund-Regular Plan - Growth Option,Very High,Others,Others,Tata Ethical Fund
100417, Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option,Moderate,Debt Scheme,Medium to Long Duration,Tata Income Fund
100418, Tata Income Fund -Regular Plan - Growth Option,Low to Moderate,Debt Scheme,Medium to Long Duration,Tata Income Fund
100470, Franklin India BLUECHIP FUND - IDCW ,Moderately High,Equity Scheme,Large Cap,Franklin India BLUECHIP FUND
100471, Franklin India Bluechip Fund-Growth,Low to Moderate,Equity Scheme,Large Cap,Franklin India Bluechip Fund
100472, Franklin India PRIMA FUND - IDCW ,High,Equity Scheme,Mid Cap,Franklin India PRIMA FUND
100473, Franklin India Prima Fund-Growth,Moderately High,Equity Scheme,Mid Cap,Franklin India Prima Fund
100474, Tata India Tax Savings Fund- Regular Plan - Payout of IDCW Option,Moderately High,Equity Scheme,ELSS,Tata India Tax Savings Fund
100475, Tata Large Cap Fund -Regular Plan - Growth Option,Moderately High,Equity Scheme,Large Cap,Tata Large Cap Fund
100476, Taurus Flexi Cap Fund - Regular Plan - Growth ,Moderate,Others,Others,Taurus Flexi Cap Fund
100477, Taurus Discovery (Midcap) Fund - Regular Plan - Growth,Moderate,Equity Scheme,Mid Cap,Taurus Discovery (Midcap) Fund
100480, Taurus Taxshield - Regular Plan - Growth,High,Equity Scheme,ELSS,Taurus Taxshield
100484, Franklin India Index Fund- Nifty Plan - Growth,Moderate,Other Scheme,Indexs/ETFs,Franklin India Index Fund
100493, Franklin India Government Securities Fund - Growth,Moderate,Debt Scheme,Gilt,Franklin India Government Securities Fund
100494, Franklin India Government Securities Fund - IDCW ,Moderately High,Debt Scheme,Gilt,Franklin India Government Securities Fund
100496, Templeton India Value Fund - Growth Plan,High,Equity Scheme,Value,Templeton India Value Fund
100497, Templeton India Value Fund - IDCW ,Moderate,Equity Scheme,Value,Templeton India Value Fund
100498, Franklin India Dynamic Accrual Fund - IDCW ,Moderate,Debt Scheme,Dynamic Bond,Franklin India Dynamic Accrual Fund
100499, Franklin India Dynamic Accrual Fund-Growth,Moderate,Debt Scheme,Dynamic Bond,Franklin India Dynamic Accrual Fund
100503, Franklin India Low Duration Fund - Monthly - IDCW,Moderately High,Debt Scheme,Low Duration,Franklin India Low Duration Fund
100504, Franklin India Low Duration Fund - Quarterly - IDCW,Low to Moderate,Debt Scheme,Low Duration,Franklin India Low Duration Fund
100519, Franklin India Flexi Cap Fund - IDCW ,Very High,Others,Others,Franklin India Flexi Cap Fund
100520, Franklin India Flexi Cap Fund - Growth,Low to Moderate,Others,Others,Franklin India Flexi Cap Fund
100521, Franklin India Technology Fund - IDCW ,Very High,Others,Others,Franklin India Technology Fund
100522, Franklin India Technology Fund-Growth,Moderate,Others,Others,Franklin India Technology Fund
100524, Franklin INDIA OPPORTUNITIES FUND - IDCW ,Low to Moderate,Others,Others,Franklin INDIA OPPORTUNITIES FUND
100525, Franklin India TAXSHIELD - IDCW ,Moderately High,Equity Scheme,ELSS,Franklin India TAXSHIELD
100526, Franklin India Taxshield-Growth,Moderate,Equity Scheme,ELSS,Franklin India Taxshield
100537, Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,Very High,Debt Scheme,Liquid,Franklin India Liquid Fund
100538, Franklin India Liquid Fund - Regular Plan - Growth,Very High,Debt Scheme,Liquid,Franklin India Liquid Fund
100541, Franklin India Liquid Fund - Regular Plan - Daily - IDCW,Low,Debt Scheme,Liquid,Franklin India Liquid Fund
100546, Franklin India Liquid Fund - Super Institutional Plan - Growth,Moderately High,Debt Scheme,Liquid,Franklin India Liquid Fund
100547, Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,Moderately High,Debt Scheme,Liquid,Franklin India Liquid Fund
100548, Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,Low to Moderate,Debt Scheme,Liquid,Franklin India Liquid Fund
100549, Franklin India Equity Hybrid Fund - IDCW ,Moderate,Hybrid Scheme,Aggressive Hybrid,Franklin India Equity Hybrid Fund
100550, Franklin India Equity Hybrid Fund - Growth Plan,High,Hybrid Scheme,Aggressive Hybrid,Franklin India Equity Hybrid Fund
100630, quant Active Fund-IDCW Option - Regular Plan,Low to Moderate,Equity Scheme,Multi Cap,quant Active Fund
100631, quant Active Fund-GROWTH OPTION - Regular Plan,Moderately High,Equity Scheme,Multi Cap,quant Active Fund
100638, SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate,Debt Scheme,Medium to Long Duration,SBI Magnum Income Fund
100639, SBI Magnum Income Fund-REGULAR PLAN-Growth,Low to Moderate,Debt Scheme,Medium to Long Duration,SBI Magnum Income Fund
100640, SBI Magnum Income Fund-REGULAR PLAN-Bonus,Low to Moderate,Debt Scheme,Medium to Long Duration,SBI Magnum Income Fund
100641, SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,Very High,Debt Scheme,Ultra Short Duration,SBI MAGNUM ULTRA SHORT DURATION FUND
100643, SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate,Others,Others,SBI Technology Opportunities Fund
100644, SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderate,Others,Others,SBI Healthcare Opportunities Fund
100645, SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Very High,Others,Others,SBI Consumption Opportunities Fund
100837, Nippon India Liquid Fund - Retail Option - Growth Plan,Moderate,Debt Scheme,Liquid,Nippon India Liquid Fund
100838, NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,High,Debt Scheme,Liquid,NIPPON INDIA LIQUID FUND
100842, NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,Moderately High,Debt Scheme,Liquid,NIPPON INDIA LIQUID FUND
100843, NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,Moderate,Debt Scheme,Liquid,NIPPON INDIA LIQUID FUND
100844, NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,High,Debt Scheme,Liquid,NIPPON INDIA LIQUID FUND
100845, Reliance Liquid Fund-Cash Plan-Growth Plan,Moderate,Others,Others,Reliance Liquid Fund
100848, Reliance Liquid Fund-Cash Plan-Weekly Dividend Reinvestment Option,Moderate,Others,Others,Reliance Liquid Fund
100849, Reliance Liquid Fund-Cash Plan-Daily Dividend Reinvestment Option,Moderate,Others,Others,Reliance Liquid Fund
100851, Nippon India Liquid Fund -Growth Plan,Moderate,Debt Scheme,Liquid,Nippon India Liquid Fund
100852, NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,Low to Moderate,Debt Scheme,Liquid,NIPPON INDIA LIQUID FUND
100853, NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,Moderate,Debt Scheme,Liquid,NIPPON INDIA LIQUID FUND
100855, NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,Very High,Debt Scheme,Liquid,NIPPON INDIA LIQUID FUND
100868, HDFC Liquid Fund - Growth Plan,Moderate,Debt Scheme,Liquid,HDFC Liquid Fund
100872, HDFC Liquid Fund-PREMIUM PLUS- Growth,Low to Moderate,Others,Others,HDFC Liquid Fund
100874, HDFC Liquid Fund - IDCW Plan Weekly,Low,Debt Scheme,Liquid,HDFC Liquid Fund
100875, HDFC Liquid Fund - IDCW Daily,Very High,Debt Scheme,Liquid,HDFC Liquid Fund
100876, HDFC Liquid Fund - IDCW Monthly,Moderate,Debt Scheme,Liquid,HDFC Liquid Fund
100878, HDFC Liquid Fund-Premium Plan - Dividend-Weekly,Low to Moderate,Others,Others,HDFC Liquid Fund
100881, HDFC Liquid Fund-Premium Plus Plan - Dividend-Weekly,Moderate,Others,Others,HDFC Liquid Fund
100895, Principal Cash Management Fund - Daily Income Distribution CUM Capital Withdrawal,Low to Moderate,Debt Scheme,Liquid,Principal Cash Management Fund
100896, Principal Cash Management Fund - Weekly Income Distribution CUM Capital Withdrawal Option,Low to Moderate,Debt Scheme,Liquid,Principal Cash Management Fund
100897, Principal Cash Management Fund - Monthly Income Distribution CUM Capital Withdrawal Option,Low to Moderate,Debt Scheme,Liquid,Principal Cash Management Fund
100898, Principal Cash Management Fund -Growth Option,Very High,Debt Scheme,Liquid,Principal Cash Management Fund
100915, SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderate,Equity Scheme,Contra,SBI Contra Fund
100927, SBI Debt Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Very High,Hybrid Scheme,Conservative Hybrid,SBI Debt Hybrid Fund
100928, SBI Debt Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),High,Hybrid Scheme,Conservative Hybrid,SBI Debt Hybrid Fund
100929, SBI Debt Hybrid Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW),Moderately High,Hybrid Scheme,Conservative Hybrid,SBI Debt Hybrid Fund
100948, Franklin India Debt Hybrid Fund - Growth,Moderately High,Hybrid Scheme,Conservative Hybrid,Franklin India Debt Hybrid Fund
100949, Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,Moderate,Hybrid Scheme,Conservative Hybrid,Franklin India Debt Hybrid Fund
100950, Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW,Moderate,Hybrid Scheme,Conservative Hybrid,Franklin India Debt Hybrid Fund
100952, ICICI Prudential MIP - Growth,High,Others,Others,ICICI Prudential MIP
100953, ICICI Prudential MIP - Dividend Monthly,Low,Others,Others,ICICI Prudential MIP
100954, ICICI Prudential MIP - Dividend Quarterly,Moderately High,Others,Others,ICICI Prudential MIP
100955, ICICI Prudential MIP - Dividend Half Yearly,Low to Moderate,Others,Others,ICICI Prudential MIP
100966, Principal Multi Cap Growth Fund- Half Yearly Income Distribution CUM Capital Withdrawal Option,Moderately High,Equity Scheme,Multi Cap,Principal Multi Cap Growth Fund
100967, Principal Multi Cap Growth Fund-Growth Option,Moderately High,Equity Scheme,Multi Cap,Principal Multi Cap Growth Fund
100968, SBI DEBT HYBRID FUND - REGULAR PLAN - GROWTH,Moderate,Hybrid Scheme,Conservative Hybrid,SBI DEBT HYBRID FUND
100997, HDFC Long Term Advantage Plan - IDCW Plan,Low to Moderate,Equity Scheme,ELSS,HDFC Long Term Advantage Plan
100998, HDFC Long Term Advantage Plan - Growth Plan,Low to Moderate,Equity Scheme,ELSS,HDFC Long Term Advantage Plan
100999, SBI Magnum Gilt Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate,Debt Scheme,Gilt,SBI Magnum Gilt Fund
101001, SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH,Low to Moderate,Debt Scheme,Gilt,SBI MAGNUM GILT FUND
101002, SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH,Very High,Debt Scheme,Gilt with 10 year constant duration,SBI MAGNUM CONSTANT MATURITY FUND
101003, SBI Magnum Constant Maturity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),High,Debt Scheme,Gilt with 10 year constant duration,SBI Magnum Constant Maturity Fund
101042, Tata Gilt Securities Fund -Regular Plan- Growth Option,Low to Moderate,Debt Scheme,Gilt,Tata Gilt Securities Fund
101044, Franklin India Floating Rate Fund - IDCW ,Moderately High,Debt Scheme,Floater,Franklin India Floating Rate Fund
101048, Franklin India Floating Rate Fund - Growth Plan,Moderate,Debt Scheme,Floater,Franklin India Floating Rate Fund
101049, Tata Gilt Securities Fund - Regular Plan - Payout of IDCW Option,High,Debt Scheme,Gilt,Tata Gilt Securities Fund
101065, quant Mid Cap Fund - Growth Option - Regular Plan,Very High,Equity Scheme,Mid Cap,quant Mid Cap Fund
101066, quant Mid Cap Fund - IDCW Option - Regular Plan,High,Equity Scheme,Mid Cap,quant Mid Cap Fund
101069, quant Absolute Fund-IDCW Option - Regular Plan,Moderately High,Hybrid Scheme,Aggressive Hybrid,quant Absolute Fund
101070, quant Absolute Fund - Growth Option - Regular Plan,Very High,Hybrid Scheme,Aggressive Hybrid,quant Absolute Fund
101071, quant Multi Asset Fund - IDCW Option - Regular Plan,High,Hybrid Scheme,Multi Asset Allocation,quant Multi Asset Fund
101072, quant Multi Asset Fund-GROWTH OPTION - Regular Plan,Moderately High,Hybrid Scheme,Multi Asset Allocation,quant Multi Asset Fund
101078, JM Liquid Fund (Regular) - Daily IDCW,Low,Debt Scheme,Liquid,JM Liquid Fund (Regular)
101083, HDFC Gilt Fund - Growth Plan,High,Debt Scheme,Gilt,HDFC Gilt Fund
101084, HDFC Gilt Fund - IDCW Plan,Moderately High,Debt Scheme,Gilt,HDFC Gilt Fund
101098, ICICI Prudential Child Care Plan Study - Cumulative,Very High,Others,Others,ICICI Prudential Child Care Plan Study
101143, ICICI Prudential Multi-Asset Fund - IDCW,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,ICICI Prudential Multi
101144, ICICI Prudential Multi-Asset Fund - Growth,Moderate,Hybrid Scheme,Multi Asset Allocation,ICICI Prudential Multi
101161, Nippon India Multi Cap Fund-Growth Plan-Growth Option,Moderately High,Equity Scheme,Multi Cap,Nippon India Multi Cap Fund
101162, Nippon India Multi Cap Fund-Growth Plan-Bonus Option,Low to Moderate,Equity Scheme,Multi Cap,Nippon India Multi Cap Fund
101163, NIPPON INDIA MULTI CAP FUND - IDCW Option,Low to Moderate,Equity Scheme,Multi Cap,NIPPON INDIA MULTI CAP FUND
101165, ICICI Prudential Short Term Fund - Monthly IDCW,Low to Moderate,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
101181, JM Income Fund (Regular) - Bonus Option- Principal Units,Moderate,Debt Scheme,Medium to Long Duration,JM Income Fund (Regular)
101186, Tata Income Fund- Regular Plan - Periodic Payout of IDCW Option,Moderately High,Debt Scheme,Medium to Long Duration,Tata Income Fund
101206, SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,Moderately High,Debt Scheme,Overnight,SBI OVERNIGHT FUND
101209, Taurus Largecap Equity Fund - Regular Plan - Growth,Low to Moderate,Equity Scheme,Large Cap,Taurus Largecap Equity Fund
101221, ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option),Moderate,Debt Scheme,Money Market,ICICI Prudential Money Market Fund Retail Growth (erstwhile Cash Option)
101222, Tata Hybrid Equity Fund- Regular Plan - Periodic Payout of IDCW Option,Moderately High,Hybrid Scheme,Aggressive Hybrid,Tata Hybrid Equity Fund
101224, Tata Dynamic Bond Fund- Regular Plan - Payout of IDCW Option,Moderately High,Debt Scheme,Dynamic Bond,Tata Dynamic Bond Fund
101228, ICICI Prudential Multicap Fund - Growth,Moderate,Equity Scheme,Multi Cap,ICICI Prudential Multicap Fund
101229, ICICI Prudential Short Term Fund - Institutional Plan - Dividend Monthly,Moderate,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
101230, ICICI Prudential Short Term Fund-Institutional Plan-Dividend Fortnightly,High,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
101231, ICICI Prudential Short Term Fund-Institutional Growth,High,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
101232, Franklin India Short-Term Income Plan-Growth,Very High,Debt Scheme,Short Duration,Franklin India Short
101236, Franklin India Short Term Income Plan -  Retail Plan - Monthly - IDCW,Moderately High,Debt Scheme,Short Duration,Franklin India Short Term Income Plan
101237, Franklin India Short-Term Income Plan-Weekly Bonus,Moderately High,Others,Others,Franklin India Short
101238, Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW,Moderate,Debt Scheme,Short Duration,Franklin India Short Term Income Plan
101242, Franklin India Short Term Income Plan -  Retail Plan - Weekly - IDCW,Very High,Debt Scheme,Short Duration,Franklin India Short Term Income Plan
101244, Franklin India Short-Term Income Plan-Institutional Plan - Growth,Moderate,Debt Scheme,Short Duration,Franklin India Short
101246, Franklin India Short-Term Income Plan-Institutional Plan - Monthly Dividend,Low to Moderate,Others,Others,Franklin India Short
101262, Nippon India Power & Infra Fund-Growth Plan -Growth Option,Low to Moderate,Others,Others,Nippon India Power & Infra Fund
101263, Nippon India Power & Infra Fund-Growth Plan-Bonus Option,Moderately High,Others,Others,Nippon India Power & Infra Fund
101264, NIPPON INDIA POWER & INFRA FUND - IDCW Option,Low to Moderate,Others,Others,NIPPON INDIA POWER & INFRA FUND
101265, Principal Hybrid Equity Fund-Growth,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,Principal Hybrid Equity Fund
101266, Principal Hybrid Equity Fund- Monthly Income Distribution CUM Capital Withdrawal,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,Principal Hybrid Equity Fund
101281, HDFC Index Fund-Sensex Plan - Growth Plan,Very High,Other Scheme,Indexs/ETFs,HDFC Index Fund
101282, HDFC Index Fund-Sensex Plus( FV-Rs32.161),Moderate,Others,Others,HDFC Index Fund
101295, SBI Magnum Equity ESG Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Moderately High,Others,Others,SBI Magnum Equity ESG Fund
101313, Aditya Birla Sun Life Index Fund -REGULAR - IDCW,Moderately High,Other Scheme,Indexs/ETFs,Aditya Birla Sun Life Index Fund
101314, Aditya Birla Sun Life Index Fund - Growth - Regular Plan,Moderately High,Other Scheme,Indexs/ETFs,Aditya Birla Sun Life Index Fund
101316, Aditya Birla Sun Life Savings Fund-Retail Growth,Moderate,Debt Scheme,Ultra Short Duration,Aditya Birla Sun Life Savings Fund
101317, Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,Low to Moderate,Debt Scheme,Ultra Short Duration,Aditya Birla Sun Life Savings Fund
101349, ICICI Prudential Nifty Index Fund -  Cumulative Option,Moderate,Other Scheme,Indexs/ETFs,ICICI Prudential Nifty Index Fund
101350, ICICI Prudential All Seasons Bond Fund Retail - Cumulative,Moderate,Debt Scheme,Dynamic Bond,ICICI Prudential All Seasons Bond Fund Retail
101351, ICICI Prudential All Seasons Bond Fund - Weekly IDCW,Low to Moderate,Debt Scheme,Dynamic Bond,ICICI Prudential All Seasons Bond Fund
